VendorNumber,VendorName,Brand,Description,Volume,PurchasePrice,ActualPrice,TotalPurchaseQuantity,TotalPurchaseDollars,TotalSalesQuantity,TotalSalesDollars,TotalSalesPrice,TotalExciseTax,FreightCost,GrossProfit,ProfitMargin,StockTurnover,UnsoldCapital
116,VENDOR_116 INC,6528,Liquor Description 6528,750.0,42.21949835313791,54.83802187085462,124,5235.217795789101,115,6306.372515148281,54.83802187085462,237.0841687494965,342.0560377434287,1071.1547193591805,16.985275081454564,0.9274193548387096,379.9754851782412
6,M S WALKER INC,4060,Liquor Description 4060,1000.0,51.09849743621779,76.03838501022362,70,3576.894820535245,70,5322.686950715653,76.03838501022362,138.9325939251787,113.0279546281369,1745.7921301804085,32.799075849194566,1.0,0.0
94,VENDOR_94 INC,6209,Liquor Description 6209,750.0,56.72556508271323,73.66470822509922,326,18492.53421696451,244,24496.25695522393,73.66470822509922,617.3974695767745,507.5754417196651,6003.722738259421,24.508735147714482,0.7484662576687117,4651.496336782485
115,VENDOR_115 INC,4512,Liquor Description 4512,750.0,58.97943767005314,75.83831339115285,431,25420.1376357929,468,35492.33066705953,75.83831339115285,345.5108232995893,2025.306052447354,10072.193031266626,28.378505558708323,1.08584686774942,-2182.239193791966
90,VENDOR_90 INC,8282,Liquor Description 8282,750.0,46.8581330912393,66.48471750839587,332,15556.90018629145,264,17551.96542221651,66.48471750839587,594.8392504017693,729.0382498084493,1995.0652359250616,11.366620135884014,0.7951807228915663,3186.3530502042727
60,VENDOR_60 INC,5790,Liquor Description 5790,750.0,21.75202495506802,32.00901346733657,170,3697.844242361563,149,4769.343006633148,32.00901346733657,197.8607655211501,111.6764530212861,1071.4987642715855,22.46638085751763,0.8764705882352941,456.7925240564284
26,VENDOR_26 INC,7825,Liquor Description 7825,1000.0,75.66504961074101,92.4037253327471,214,16192.32061669858,151,21733.869133547,92.4037253327471,124.4360953689269,1192.94358707164,5541.548516848419,25.49729402895337,0.705607476635514,4766.898125476683
2,MARTIGNETTI COMPANIES,4928,Liquor Description 4928,1000.0,57.24998507477464,70.07449929714276,40032,2291831.402513378,36834,2581124.107110957,70.07449929714276,85802.34719218736,77614.01057601962,289292.7045975793,11.208012191299998,0.9201139088729017,183085.4522691293
6,M S WALKER INC,5592,Liquor Description 5592,750.0,22.76300276520571,34.4556351232084,79,1798.277218451251,67,2308.527553254963,34.4556351232084,89.05070899796031,135.8325052236624,510.2503348037121,22.102847942372296,0.8481012658227848,273.1560331824685
8,PERFECTA WINES,7120,Liquor Description 7120,750.0,29.17413742027047,45.0390012691292,444,12953.31701460009,355,15988.84545054087,45.0390012691292,825.4848225077376,351.5225992683164,3035.5284359407797,18.98528849585005,0.7995495495495496,2596.498230404072
